Date;Time;Date/time;Latitude [degrees];Longitude [degrees];Position;Course [degrees];Heading [degrees];Speed [km/h];Fuel consumption;Fuel total 1;Fuel total 2;Pull force
2020-07-09;14:00:00;2020-07-09 14:00:00;49,44769;8,90161;49°26,862' N 008°54,096' E;27,9;0,0;1,5;0,00;0,00;0,00;0,000
2020-07-09;14:00:05;2020-07-09 14:00:05;49,44772;8,90162;49°26,863' N 008°54,097' E;30,0;0,0;1,7;0,00;0,00;0,00;0,000
2020-07-09;14:00:10;2020-07-09 14:00:10;49,44774;8,90163;49°26,864' N 008°54,098' E;30,9;0,0;1,9;0,00;0,00;0,00;0,000
2020-07-09;14:00:16;2020-07-09 14:00:16;49,44776;8,90165;49°26,865' N 008°54,099' E;31,4;0,0;2,0;0,00;0,00;0,00;0,000
2020-07-09;14:00:21;2020-07-09 14:00:21;49,44778;8,90167;49°26,867' N 008°54,100' E;31,6;0,0;2,2;0,00;0,00;0,00;0,000
2020-07-09;14:00:26;2020-07-09 14:00:26;49,44781;8,90170;49°26,869' N 008°54,102' E;31,9;0,0;2,4;0,00;0,00;0,00;0,000
2020-07-09;14:00:31;2020-07-09 14:00:31;49,44785;8,90174;49°26,871' N 008°54,104' E;31,7;0,0;2,8;0,00;0,00;0,00;0,000
2020-07-09;14:00:37;2020-07-09 14:00:37;49,44788;8,90178;49°26,873' N 008°54,107' E;31,3;0,0;3,1;0,00;0,00;0,00;0,000
2020-07-09;14:00:42;2020-07-09 14:00:42;49,44792;8,90182;49°26,875' N 008°54,109' E;30,8;0,0;3,3;0,00;0,00;0,00;0,000
2020-07-09;14:00:47;2020-07-09 14:00:47;49,44796;8,90186;49°26,878' N 008°54,112' E;30,2;0,0;3,3;0,00;0,00;0,00;0,000
2020-07-09;14:00:52;2020-07-09 14:00:52;49,44800;8,90190;49°26,880' N 008°54,114' E;27,0;0,0;3,5;0,00;0,00;0,00;0,000
2020-07-09;14:00:58;2020-07-09 14:00:58;49,44804;8,90194;49°26,882' N 008°54,117' E;25,3;0,0;3,7;0,00;0,00;0,00;0,000
2020-07-09;14:01:03;2020-07-09 14:01:03;49,44806;8,90196;49°26,884' N 008°54,118' E;24,5;0,0;3,7;0,00;0,00;0,00;0,000
2020-07-09;14:01:08;2020-07-09 14:01:08;49,44810;8,90198;49°26,886' N 008°54,119' E;24,6;0,0;3,7;0,00;0,00;0,00;0,000
2020-07-09;14:01:14;2020-07-09 14:01:14;49,44815;8,90202;49°26,889' N 008°54,121' E;24,4;0,0;3,9;0,00;0,00;0,00;0,000
2020-07-09;14:01:19;2020-07-09 14:01:19;49,44821;8,90206;49°26,892' N 008°54,124' E;24,5;0,0;4,1;0,00;0,00;0,00;0,000
2020-07-09;14:01:24;2020-07-09 14:01:24;49,44826;8,90209;49°26,895' N 008°54,126' E;23,5;0,0;4,1;0,00;0,00;0,00;0,000
2020-07-09;14:01:30;2020-07-09 14:01:30;49,44832;8,90213;49°26,899' N 008°54,128' E;22,7;0,0;4,1;0,00;0,00;0,00;0,000
2020-07-09;14:01:35;2020-07-09 14:01:35;49,44837;8,90215;49°26,902' N 008°54,129' E;22,0;0,0;4,1;0,00;0,00;0,00;0,000
2020-07-09;14:01:40;2020-07-09 14:01:40;49,44841;8,90218;49°26,905' N 008°54,131' E;20,4;0,0;4,1;0,00;0,00;0,00;0,000
