Date;Time;Date/time;Latitude [degrees];Longitude [degrees];Position;Course [degrees];Heading [degrees];Speed [km/h];Fuel consumption;Fuel total 1;Fuel total 2;Pull force
2020-07-07;10:40:31;2020-07-07 10:40:31;0,00000;0,00000;n/a;-1,0;0,0;0,0;0,00;0,00;0,00;0,000
2020-07-07;10:40:36;2020-07-07 10:40:36;50,00334;8,27718;50°00,201' N 008°16,631' E;131,0;0,0;4,4;0,00;0,00;0,00;0,000
2020-07-07;10:40:41;2020-07-07 10:40:41;50,00329;8,27726;50°00,198' N 008°16,635' E;133,9;0,0;5,2;0,00;0,00;0,00;0,000
2020-07-07;10:40:46;2020-07-07 10:40:46;50,00324;8,27734;50°00,194' N 008°16,640' E;135,2;0,0;5,7;0,00;0,00;0,00;0,000
2020-07-07;10:40:52;2020-07-07 10:40:52;50,00318;8,27743;50°00,191' N 008°16,646' E;136,2;0,0;6,3;0,00;0,00;0,00;0,000
2020-07-07;10:40:57;2020-07-07 10:40:57;50,00312;8,27752;50°00,187' N 008°16,651' E;136,1;0,0;6,9;0,00;0,00;0,00;0,000
2020-07-07;10:41:02;2020-07-07 10:41:02;50,00304;8,27765;50°00,182' N 008°16,659' E;135,2;0,0;7,8;0,00;0,00;0,00;0,000
2020-07-07;10:41:07;2020-07-07 10:41:07;50,00296;8,27776;50°00,178' N 008°16,666' E;135,1;0,0;8,3;0,00;0,00;0,00;0,000
2020-07-07;10:41:13;2020-07-07 10:41:13;50,00288;8,27788;50°00,173' N 008°16,673' E;134,8;0,0;9,1;0,00;0,00;0,00;0,000
2020-07-07;10:41:18;2020-07-07 10:41:18;50,00281;8,27801;50°00,168' N 008°16,681' E;134,6;0,0;9,6;0,00;0,00;0,00;0,000
2020-07-07;10:41:24;2020-07-07 10:41:24;50,00270;8,27818;50°00,162' N 008°16,691' E;134,9;0,0;10,2;0,00;0,00;0,00;0,000
2020-07-07;10:41:29;2020-07-07 10:41:29;50,00260;8,27833;50°00,156' N 008°16,700' E;135,1;0,0;10,7;0,00;0,00;0,00;0,000
2020-07-07;10:41:34;2020-07-07 10:41:34;50,00250;8,27848;50°00,150' N 008°16,709' E;135,3;0,0;11,1;0,00;0,00;0,00;0,000
2020-07-07;10:41:40;2020-07-07 10:41:40;50,00238;8,27867;50°00,143' N 008°16,720' E;135,2;0,0;11,3;0,00;0,00;0,00;0,000
2020-07-07;10:41:45;2020-07-07 10:41:45;50,00227;8,27883;50°00,136' N 008°16,730' E;134,5;0,0;11,7;0,00;0,00;0,00;0,000
2020-07-07;10:41:50;2020-07-07 10:41:50;50,00217;8,27899;50°00,130' N 008°16,739' E;134,6;0,0;11,9;0,00;0,00;0,00;0,000
2020-07-07;10:41:56;2020-07-07 10:41:56;50,00205;8,27919;50°00,123' N 008°16,751' E;134,9;0,0;12,0;0,00;0,00;0,00;0,000
2020-07-07;10:42:01;2020-07-07 10:42:01;50,00194;8,27936;50°00,116' N 008°16,761' E;135,6;0,0;12,0;0,00;0,00;0,00;0,000
2020-07-07;10:42:06;2020-07-07 10:42:06;50,00180;8,27956;50°00,108' N 008°16,774' E;135,7;0,0;12,2;0,00;0,00;0,00;0,000
2020-07-07;10:42:12;2020-07-07 10:42:12;50,00169;8,27973;50°00,102' N 008°16,784' E;135,8;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:17;2020-07-07 10:42:17;50,00158;8,27989;50°00,095' N 008°16,794' E;136,0;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:23;2020-07-07 10:42:23;50,00144;8,28009;50°00,086' N 008°16,806' E;137,0;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:28;2020-07-07 10:42:28;50,00132;8,28026;50°00,079' N 008°16,816' E;137,4;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:34;2020-07-07 10:42:34;50,00118;8,28045;50°00,071' N 008°16,827' E;137,6;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:39;2020-07-07 10:42:39;50,00107;8,28062;50°00,064' N 008°16,837' E;137,8;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:44;2020-07-07 10:42:44;50,00095;8,28078;50°00,057' N 008°16,847' E;138,4;0,0;12,4;0,00;0,00;0,00;0,000
2020-07-07;10:42:49;2020-07-07 10:42:49;50,00084;8,28094;50°00,050' N 008°16,856' E;138,8;0,0;12,4;0,00;0,00;0,00;0,000
